Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","120","Lao People's Democratic Republic","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","3948","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","119","Latvia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","2075","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","121","Lebanon","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","4759","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","122","Lesotho","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","2255","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","123","Liberia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","176","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","124","Libya","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1796","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","126","Lithuania","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","5369","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","256","Luxembourg","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","869","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","129","Madagascar","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","22631","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","130","Malawi","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","3223","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","6022","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","133","Mali","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","22126","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","134","Malta","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","249","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","136","Mauritania","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","3782","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","137","Mauritius","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","326","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","138","Mexico","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","216477","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","145","Micronesia (Federated States of)","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","32","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","141","Mongolia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","9509","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","273","Montenegro","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","662","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","143","Morocco","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","30068","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","144","Mozambique","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1096","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","34183","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","147","Namibia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","3938","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","149","Nepal","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1204","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","150","Netherlands","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","33823","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","153","New Caledonia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","411","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","156","New Zealand","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","65077","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","157","Nicaragua","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","19021","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","158","Niger","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","10599","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","36961","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","160","Niue","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","0","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","154","North Macedonia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1446","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","162","Norway","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","5139","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","221","Oman","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1734","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","165","Pakistan","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","97235","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","299","Palestine","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","814","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","166","Panama","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","10215","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","168","Papua New Guinea","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","535","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","169","Paraguay","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","53429","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","170","Peru","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","24406","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","171","Philippines","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","19475","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","173","Poland","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","44716","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","174","Portugal","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","9993","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","177","Puerto Rico","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","903","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","179","Qatar","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","86","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","117","Republic of Korea","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","29154","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","146","Republic of Moldova","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1069","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","183","Romania","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","31523","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","185","Russian Federation","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","206065","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","184","Rwanda","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","3978","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","188","Saint Kitts and Nevis","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","12","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","189","Saint Lucia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","56","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","191","Saint Vincent and the Grenadines","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","25","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","244","Samoa","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","281","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","193","Sao Tome and Principe","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","21","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","194","Saudi Arabia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","6336","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","195","Senegal","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","12216","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","272","Serbia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","13390","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","196","Seychelles","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","197","Sierra Leone","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1937","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","200","Singapore","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","8","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","199","Slovakia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","2053","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","198","Slovenia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","4505","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","25","Solomon Islands","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","101","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","201","Somalia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","10955","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","202","South Africa","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","112533","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","203","Spain","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","51327","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","38","Sri Lanka","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","4217","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","206","Sudan (former)","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","59220","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","207","Suriname","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","275","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","210","Sweden","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","9952","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","211","Switzerland","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","18067","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","212","Syrian Arab Republic","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","9486","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","208","Tajikistan","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","3316","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","216","Thailand","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","15783","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","176","Timor-Leste","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","146","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","217","Togo","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1332","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","219","Tonga","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","52","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","220","Trinidad and Tobago","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","169","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","222","Tunisia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","6117","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","223","Turkey","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","69281","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","213","Turkmenistan","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","14737","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","226","Uganda","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","25543","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","230","Ukraine","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","59443","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","225","United Arab Emirates","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1212","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","229","United Kingdom of Great Britain and Northern Ireland","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","84074","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","46912","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","231","United States of America","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","1078220","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","234","Uruguay","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","70538","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","235","Uzbekistan","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","68864","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","155","Vanuatu","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","560","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","236","Venezuela (Bolivarian Republic of)","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","57543","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","51650","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","249","Yemen","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","20082","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","251","Zambia","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","20890","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","181","Zimbabwe","5510","Production","919","Hides, cattle, fresh","2010","2010","tonnes","13215","Im","FAO data based on imputation methodology"
